,precision,recall,f1-score,support
0,0.9086490095770187,0.9680147808098127,0.9373929164556905,1270837.0
1,0.9657815450329448,0.9026874892794703,0.9331692439838085,1270926.0
accuracy,0.9353499913249189,0.9353499913249189,0.9353499913249189,0.9353499913249189
macro avg,0.9372152773049818,0.9353511350446415,0.9352810802197495,2541763.0
weighted avg,0.9372162775547406,0.9353499913249189,0.9352810062736637,2541763.0
